股票代码,股票名称,最新日期,最新价格,最新净资产价格,最新价格与净资产比值,最新季度每股收益,市盈率
601318,中国平安,2015-07-08,77.43,34.43,2.249,2.19,8.839
601328,交通银行,2015-07-08,8.01,6.6,1.214,0.26,7.702
601333,广深铁路,2015-07-08,4.44,3.8128,1.164,0.037,30.0
601336,新华保险,2015-07-08,50.39,17.29,2.914,1.16,10.86
601339,百隆东方,2015-07-08,5.17,8.8758,0.582,0.16,8.078
601368,绿城水务,2015-07-08,11.6,2.66,4.361,0.0928,31.25
601369,陕鼓动力,2015-07-08,7.6,3.7951,2.003,0.06,31.667
601377,兴业证券,2015-07-08,10.81,3.0345,3.562,0.21,12.869
601388,怡球资源,2015-07-02,17.39,4.1427,4.198,0.04,108.688
601390,中国中铁,2015-07-08,12.33,4.9212,2.505,0.1,30.825
601398,工商银行,2015-07-08,5.47,4.52,1.21,0.21,6.512
601515,东风股份,2015-07-07,11.93,3.0087,3.965,0.21,14.202
601518,吉林高速,2015-07-08,4.06,2.0799,1.952,0.07,14.5
601519,大智慧,2015-07-08,10.04,1.5387,6.525,0.017,147.647
601555,东吴证券,2015-07-08,15.91,5.5143,2.885,0.23,17.293
601558,华锐风电,2015-07-08,5.67,1.4177,3.999,-0.04,-35.438
601566,九牧王,2015-07-07,14.13,7.9395,1.78,0.22,16.057
601567,三星电气,2015-07-07,12.0,6.4373,1.864,0.1,30.0
601579,会稽山,2015-07-07,13.58,3.7101,3.66,0.13,26.115
601588,北辰实业,2015-07-08,4.77,3.2677,1.46,0.03,39.75
601599,鹿港科技,2015-07-07,9.14,3.8365,2.382,0.0148,154.392
601600,中国铝业,2015-07-08,5.3,-0.3568,-14.854,2.1012,0.631
601601,中国太保,2015-07-08,28.55,13.66,2.09,0.54,13.218
601607,上海医药,2015-07-08,16.37,10.6231,1.541,0.2727,15.007
601608,中信重工,2015-07-03,11.88,2.8988,4.098,0.0351,84.615
601616,广电电气,2015-07-08,4.72,2.71,1.742,0.0038,310.526
601618,中国中冶,2015-07-08,5.47,2.5399,2.154,0.07,19.536
601628,中国人寿,2015-07-08,34.3,10.69,3.209,0.43,19.942
601633,长城汽车,2015-06-18,42.77,11.8276,3.616,0.8335,12.828
601636,旗滨集团,2015-07-08,6.69,5.2272,1.28,0.041,40.793
601666,平煤股份,2015-07-08,4.9,4.9365,0.993,-0.0107,-114.486
601668,中国建筑,2015-07-08,7.23,5.31,1.362,0.19,9.513
601669,中国电建,2015-07-08,8.45,4.2902,1.97,0.1045,20.215
601677,明泰铝业,2015-07-08,10.47,6.7523,1.551,0.1,26.175
601678,滨化股份,2015-07-08,6.55,6.7155,0.975,0.13,12.596
601688,华泰证券,2015-07-08,20.54,7.3232,2.805,0.3599,14.268
601689,拓普集团,2015-07-08,20.62,4.5559,4.526,0.17,30.324
601699,潞安环能,2015-07-08,6.13,8.1641,0.751,0.031,49.435
601700,风范股份,2015-07-07,6.82,6.3703,1.071,0.14,12.179
601717,郑煤机,2015-07-08,6.18,5.8595,1.055,0.02,77.25
601718,际华集团,2015-07-08,10.1,3.14,3.217,0.05,50.5
601727,上海电气,2015-07-08,10.34,2.8405,3.64,0.0508,50.886
601766,中国中车,2015-07-08,16.04,3.0018,5.343,0.07,57.286
601777,力帆股份,2015-07-07,10.68,5.717,1.868,0.0969,27.554
601788,光大证券,2015-07-08,20.09,8.0587,2.493,0.4426,11.348
601789,宁波建工,2015-06-12,18.8,4.5792,4.106,0.1163,40.413
601798,蓝科高新,2015-07-08,10.15,5.4755,1.854,0.014,181.25
601799,星宇股份,2015-07-07,24.14,8.5351,2.828,0.2503,24.111
601800,中国交建,2015-07-08,15.49,7.3782,2.099,0.12,32.271
601801,皖新传媒,2015-07-08,17.46,5.9654,2.927,0.24,18.188
601808,中海油服,2015-07-08,16.61,10.1168,1.642,0.2,20.762
601818,光大银行,2015-07-08,5.43,4.02,1.351,0.18,7.542
601857,中国石油,2015-07-08,12.4,6.4413,1.925,0.03,103.333
601866,中海集运,2015-07-08,5.56,2.1446,2.593,0.0213,65.258
601872,招商轮船,2015-07-08,6.83,2.1849,3.126,0.05,34.15
601877,正泰电器,2015-05-15,40.11,6.2701,6.397,0.3,33.425
601880,大连港,2015-07-08,4.95,3.1253,1.584,0.0267,46.348
601886,江河创建,2015-07-08,8.3,4.5137,1.839,0.04,51.875
601888,中国国旅,2015-07-08,48.7,11.0,4.427,0.6617,18.4
601890,亚星锚链,2015-07-07,7.24,6.0163,1.203,0.07,25.857
601898,中煤能源,2015-07-08,6.89,6.542,1.053,0.001,1722.5
601899,紫金矿业,2015-07-08,3.69,13.1748,0.28,0.019,48.553
601901,方正证券,2015-07-08,9.7,3.81,2.546,0.12,20.208
601908,京运通,2015-07-02,16.99,4.4217,3.842,0.04,106.187
601918,国投新集,2015-07-08,8.19,2.41,3.398,-0.189,-10.833
601919,中国远洋,2015-07-08,7.1,-1.0545,-6.733,2.2834,0.777
601928,凤凰传媒,2015-07-08,10.34,4.0339,2.563,0.0838,30.847
601929,吉视传媒,2015-07-07,11.83,3.5285,3.353,0.0922,32.077
601933,永辉超市,2015-07-08,8.01,3.0665,2.612,0.11,18.205
601939,建设银行,2015-07-08,6.84,5.26,1.3,0.27,6.333
601958,金钼股份,2015-07-08,7.48,4.0826,1.832,0.001,1870.0
601965,中国汽研,2015-07-08,8.9,5.6146,1.585,0.11,20.227
601968,宝钢包装,2015-07-08,8.86,2.1597,4.102,0.0,无法计算
601969,海南矿业,2015-07-08,14.2,2.4921,5.698,0.028,126.786
601985,中国核电,2015-07-08,8.2,2.0182,4.063,0.092,22.283
601988,中国银行,2015-07-08,5.59,3.83,1.46,0.16,8.734
601989,中国重工,2015-07-08,8.53,3.3042,2.582,0.021,101.548
601991,大唐发电,2015-07-08,5.84,3.3514,1.743,0.0582,25.086
601992,金隅股份,2015-07-08,7.51,6.5335,1.149,0.03,62.583
601996,丰林集团,2015-07-08,7.66,3.6167,2.118,0.01,191.5
601998,中信银行,2015-07-08,9.4,5.79,1.623,0.23,10.217
601999,出版传媒,2015-07-08,8.37,3.2831,2.549,0.003,697.5
603000,人民网,2015-07-08,37.46,4.6143,8.118,0.03,312.167
603001,奥康国际,2015-07-07,21.2,9.9814,2.124,0.2708,19.572
603002,宏昌电子,2015-07-08,6.96,2.3793,2.925,0.042,41.429
603003,龙宇燃油,2015-07-06,19.58,3.7812,5.178,-0.1173,-41.731
603005,晶方科技,2015-07-08,35.7,7.1541,4.99,0.22,40.568
603006,联明股份,2015-07-08,27.44,7.3099,3.754,0.19,36.105
603008,喜临门,2015-07-07,11.32,3.7256,3.038,0.08,35.375
603009,北特科技,2015-07-07,22.13,4.0455,5.47,0.1067,51.851
603010,万盛股份,2015-07-07,23.95,5.3046,4.515,0.19,31.513
603011,合锻股份,2015-05-11,27.23,3.2139,8.473,0.03,226.917
603012,创力集团,2015-07-07,27.67,7.1749,3.856,0.14,49.411
603015,弘讯科技,2015-07-08,19.52,5.1727,3.774,0.12,40.667
603017,园区设计,2015-06-19,59.0,13.7336,4.296,0.2,73.75
603018,设计股份,2015-07-08,52.21,15.9241,3.279,0.34,38.39
603019,中科曙光,2015-07-07,52.17,3.827,13.632,-0.11,-118.568
603020,爱普股份,2015-07-08,36.44,10.5027,3.47,0.3883,23.461
603021,山东华鹏,2015-07-08,26.64,6.0065,4.435,0.09,74.0
603022,新通联,2015-07-08,30.38,4.54,6.692,0.873,8.7
603023,威帝股份,2015-07-08,31.06,0.0,无法计算,0.0,无法计算
603025,大豪科技,2015-07-08,32.99,2.3964,13.766,0.11,74.977
603026,石大胜华,2015-07-08,15.09,6.6905,2.255,0.16,23.578
603030,全筑股份,2015-07-07,20.26,4.8931,4.141,0.02,253.25
